menu,total_calories,total_protein,total_fat,total_carb,protein_ratio,fat_ratio,carb_ratio,goal
Ức gà nướng (98g) + Khoai lang luộc (97g) + Salad rau củ (171g),336.3,34.2,9.3,27.4,0.407,0.249,0.326,giảm_cân
Ức gà nướng (97g) + Đậu hũ chiên (91g) + Đậu phộng rang (32g),461.8,44.8,26.6,10.0,0.388,0.518,0.087,tăng cân
Salad rau củ (155g) + Sữa tươi không đường (209g) + Trứng luộc (65g),228.0,13.8,13.1,13.2,0.242,0.517,0.232,giữ cân
Đậu phộng rang (38g) + Thịt bò xào hành (74g),387.7,28.1,28.8,9.8,0.29,0.669,0.101,không_phù_hợp
Cá hồi áp chảo (71g) + Trứng luộc (59g) + Sữa tươi không đường (171g),274.2,26.0,16.3,5.0,0.379,0.535,0.073,không_phù_hợp
Cơm gạo lứt (79g) + Trái chuối (121g) + Cháo yến mạch (144g),303.4,7.0,3.2,65.4,0.092,0.095,0.862,không_phù_hợp
Cháo yến mạch (220g) + Canh bí đỏ (178g),209.5,6.4,4.6,37.7,0.122,0.198,0.72,không_phù_hợp
Khoai lang luộc (92g) + Bông cải xanh hấp (77g),121.5,4.3,0.6,26.9,0.142,0.044,0.886,tăng_cân
Cháo yến mạch (171g) + Đậu phộng rang (35g) + Cá hồi áp chảo (74g),467.4,28.7,28.5,30.1,0.246,0.549,0.258,không_phù_hợp
Đậu hũ chiên (105g) + Canh bí đỏ (230g) + Trà gừng mật ong (166g),241.9,9.6,11.2,22.9,0.159,0.417,0.379,không_phù_hợp
Trà gừng mật ong (240g) + Canh bí đỏ (146g),84.5,0.7,1.1,18.6,0.033,0.117,0.88,không_phù_hợp
Bông cải xanh hấp (73g) + Trái chuối (114g),141.6,4.0,0.8,34.2,0.113,0.051,0.966,không_phù_hợp
Ức gà nướng (102g) + Bông cải xanh hấp (86g) + Sữa tươi không đường (210g),259.7,38.4,5.2,14.7,0.591,0.18,0.226,giảm_mỡ
Đậu hũ chiên (130g) + Ức gà nướng (119g) + Cơm gạo lứt (130g),527.9,50.7,17.2,35.1,0.384,0.293,0.266,giảm_cân
Đậu hũ chiên (85g) + Cháo yến mạch (175g) + Khoai lang luộc (105g),343.9,12.9,10.4,48.0,0.15,0.272,0.558,tăng_cân
Bông cải xanh hấp (107g) + Trà gừng mật ong (214g) + Đậu hũ chiên (128g),286.0,14.2,12.2,27.6,0.199,0.384,0.386,giữ_cân
Canh bí đỏ (164g) + Sữa tươi không đường (220g) + Ức gà nướng (106g),262.1,37.4,6.1,12.9,0.571,0.209,0.197,giảm_mỡ
Cơm gạo lứt (74g) + Ức gà nướng (98g) + Trà gừng mật ong (210g),285.8,32.3,4.2,27.5,0.452,0.132,0.385,giảm_mỡ
Canh bí đỏ (204g) + Cơm gạo lứt (110g) + Salad rau củ (175g),266.4,6.2,8.4,42.6,0.093,0.284,0.64,không_phù_hợp
Ức gà nướng (100g) + Trái chuối (80g) + Salad rau củ (125g),302.9,33.5,8.0,24.2,0.442,0.238,0.32,giảm_mỡ
Ức gà nướng (107g) + Đậu phộng rang (27g) + Khoai lang luộc (82g),391.1,40.8,16.5,21.8,0.417,0.38,0.223,giữ_cân
Trà gừng mật ong (209g) + Bông cải xanh hấp (85g),88.5,3.1,0.5,19.8,0.14,0.051,0.895,tăng_cân
Bông cải xanh hấp (105g) + Cháo yến mạch (239g) + Khoai lang luộc (79g),304.9,11.1,4.3,59.6,0.146,0.127,0.782,tăng_cân
Salad rau củ (109g) + Thịt bò xào hành (117g) + Canh bí đỏ (240g),410.6,33.1,23.0,19.4,0.322,0.504,0.189,không_phù_hợp
Cơm gạo lứt (129g) + Ức gà nướng (126g),351.1,42.4,5.7,29.7,0.483,0.146,0.338,giảm_mỡ
Bông cải xanh hấp (100g) + Thịt bò xào hành (95g),292.5,28.4,14.8,13.8,0.388,0.455,0.189,không_phù_hợp
Canh bí đỏ (248g) + Sữa tươi không đường (236g),111.6,5.3,3.0,17.1,0.19,0.242,0.613,tăng_cân
Cá hồi áp chảo (76g) + Canh bí đỏ (185g) + Trứng luộc (50g),280.8,23.9,16.6,8.9,0.34,0.532,0.127,không_phù_hợp
Cháo yến mạch (221g) + Trái chuối (78g) + Đậu hũ chiên (75g),343.2,12.4,10.3,50.8,0.145,0.27,0.592,tăng_cân
Cá hồi áp chảo (109g) + Sữa tươi không đường (144g) + Bông cải xanh hấp (84g),301.0,29.5,15.4,12.8,0.392,0.46,0.17,không_phù_hợp
Đậu hũ chiên (100g) + Trà gừng mật ong (236g),191.2,8.0,9.0,15.8,0.167,0.424,0.331,không_phù_hợp
Trứng luộc (38g) + Ức gà nướng (97g),219.3,34.9,7.5,0.5,0.637,0.308,0.009,giữ_cân
Bông cải xanh hấp (88g) + Salad rau củ (171g),139.6,5.5,6.2,17.7,0.158,0.4,0.507,không_phù_hợp
Salad rau củ (190g) + Cá hồi áp chảo (125g),358.8,30.0,22.6,8.9,0.334,0.567,0.099,không_phù_hợp
Khoai lang luộc (117g) + Trứng luộc (43g),167.7,7.3,4.7,23.9,0.174,0.252,0.57,tăng_cân
Ức gà nướng (119g) + Canh bí đỏ (195g) + Cháo yến mạch (247g),430.4,44.0,9.5,42.1,0.409,0.199,0.391,giảm_mỡ
Đậu phộng rang (21g) + Trái chuối (76g),179.6,5.7,10.0,21.7,0.127,0.501,0.483,không_phù_hợp
Khoai lang luộc (119g) + Cá hồi áp chảo (92g) + Salad rau củ (144g),368.7,24.1,16.9,30.5,0.261,0.413,0.331,không_phù_hợp
Cá hồi áp chảo (120g) + Canh bí đỏ (151g) + Bông cải xanh hấp (84g),331.1,30.3,17.2,16.0,0.366,0.468,0.193,không_phù_hợp
Bông cải xanh hấp (75g) + Sữa tươi không đường (169g),76.7,5.6,1.3,12.5,0.292,0.153,0.652,tăng_cơ
Sữa tươi không đường (216g) + Salad rau củ (161g),131.2,5.8,6.4,12.9,0.177,0.439,0.393,không_phù_hợp
Ức gà nướng (72g) + Đậu hũ chiên (121g),293.0,32.0,13.5,4.8,0.437,0.415,0.066,không_phù_hợp
Sữa tươi không đường (258g) + Cá hồi áp chảo (71g) + Cơm gạo lứt (106g),318.1,22.8,11.5,30.8,0.287,0.325,0.387,giữ_cân
Ức gà nướng (117g) + Salad rau củ (180g) + Khoai lang luộc (102g),376.8,40.3,10.3,28.8,0.428,0.246,0.306,giảm_cân
Trứng luộc (61g) + Cá hồi áp chảo (83g) + Đậu phộng rang (25g),399.5,31.8,28.9,5.7,0.318,0.651,0.057,không_phù_hợp
Ức gà nướng (97g) + Sữa tươi không đường (197g) + Bông cải xanh hấp (94g),253.1,36.9,5.0,15.3,0.583,0.178,0.242,giảm_mỡ
Đậu phộng rang (39g) + Cơm gạo lứt (124g),345.6,12.3,19.3,36.3,0.142,0.503,0.42,không_phù_hợp
Thịt bò xào hành (90g) + Cơm gạo lứt (111g) + Trứng luộc (41g),412.2,31.5,18.8,28.7,0.306,0.41,0.279,không_phù_hợp
Cá hồi áp chảo (73g) + Trà gừng mật ong (228g) + Cháo yến mạch (161g),316.7,20.1,11.9,33.1,0.254,0.338,0.418,giữ_cân
Đậu phộng rang (39g) + Cá hồi áp chảo (85g) + Ức gà nướng (97g),543.1,57.9,32.7,7.8,0.426,0.542,0.057,không_phù_hợp
Sữa tươi không đường (203g) + Canh bí đỏ (243g),103.4,4.7,2.8,16.0,0.182,0.244,0.619,tăng_cân
Canh bí đỏ (150g) + Cháo yến mạch (233g) + Cơm gạo lứt (101g),324.4,9.2,5.5,61.4,0.113,0.153,0.757,không_phù_hợp
Đậu hũ chiên (76g) + Cháo yến mạch (173g) + Cơm gạo lứt (124g),376.8,13.6,10.6,54.9,0.144,0.253,0.583,tăng_cân
Trà gừng mật ong (182g) + Trứng luộc (62g) + Cá hồi áp chảo (91g),320.6,27.8,18.4,9.8,0.347,0.517,0.122,không_phù_hợp
Đậu phộng rang (37g) + Thịt bò xào hành (82g) + Ức gà nướng (77g),529.4,53.8,32.3,9.9,0.406,0.549,0.075,không_phù_hợp
Ức gà nướng (111g) + Cháo yến mạch (245g),366.9,40.5,7.7,33.1,0.442,0.189,0.361,giảm_mỡ
Đậu phộng rang (31g) + Khoai lang luộc (95g) + Thịt bò xào hành (71g),424.5,27.2,25.2,27.3,0.256,0.534,0.257,không_phù_hợp
Cá hồi áp chảo (115g) + Khoai lang luộc (79g),304.8,26.6,15.0,15.8,0.349,0.443,0.207,không_phù_hợp
Canh bí đỏ (180g) + Thịt bò xào hành (82g) + Bông cải xanh hấp (90g),299.5,25.5,14.2,20.5,0.341,0.427,0.274,không_phù_hợp
Trứng luộc (48g) + Canh bí đỏ (228g),131.9,7.2,6.8,10.8,0.218,0.464,0.328,không_phù_hợp
Canh bí đỏ (259g) + Đậu phộng rang (25g),198.1,7.1,13.6,16.7,0.143,0.618,0.337,không_phù_hợp
Khoai lang luộc (102g) + Cá hồi áp chảo (72g) + Salad rau củ (168g),325.6,19.7,15.1,28.2,0.242,0.417,0.346,không_phù_hợp
Cơm gạo lứt (118g) + Thịt bò xào hành (109g),403.5,31.4,17.4,30.4,0.311,0.388,0.301,giữ_cân
Cá hồi áp chảo (88g) + Canh bí đỏ (191g),229.0,20.3,12.9,8.6,0.355,0.507,0.15,không_phù_hợp
Cháo yến mạch (180g) + Cơm gạo lứt (92g),237.1,6.9,3.5,45.5,0.116,0.133,0.768,không_phù_hợp
Cơm gạo lứt (113g) + Trà gừng mật ong (255g),176.4,2.9,1.0,38.7,0.066,0.051,0.878,không_phù_hợp
Cá hồi áp chảo (119g) + Bông cải xanh hấp (103g),301.8,30.0,16.1,11.3,0.398,0.48,0.15,không_phù_hợp
Đậu hũ chiên (87g) + Ức gà nướng (111g),308.4,41.4,11.8,3.5,0.537,0.344,0.045,giữ_cân
Bông cải xanh hấp (106g) + Cá hồi áp chảo (124g),313.7,31.2,16.8,11.7,0.398,0.482,0.149,không_phù_hợp
Bông cải xanh hấp (74g) + Đậu hũ chiên (78g) + Trái chuối (78g),222.4,9.8,7.7,29.2,0.176,0.312,0.525,tăng_cân
Đậu phộng rang (28g) + Cá hồi áp chảo (92g),338.9,26.8,25.0,5.6,0.316,0.664,0.066,không_phù_hợp
Cá hồi áp chảo (88g) + Thịt bò xào hành (110g) + Khoai lang luộc (98g),540.6,49.5,28.0,22.9,0.366,0.466,0.169,không_phù_hợp
Cháo yến mạch (241g) + Ức gà nướng (107g) + Trái chuối (130g),473.0,40.6,7.9,62.4,0.343,0.15,0.528,tăng_cơ
Sữa tươi không đường (259g) + Đậu phộng rang (38g),257.1,13.3,19.0,14.1,0.207,0.665,0.219,không_phù_hợp
Cơm gạo lứt (108g) + Trứng luộc (35g) + Trà gừng mật ong (141g),202.7,7.2,4.7,32.3,0.142,0.209,0.637,tăng_cân
Salad rau củ (128g) + Bông cải xanh hấp (96g) + Đậu hũ chiên (114g),285.2,14.4,15.1,21.1,0.202,0.477,0.296,không_phù_hợp
Đậu phộng rang (33g) + Trái chuối (71g) + Canh bí đỏ (186g),285.7,9.4,17.0,31.3,0.132,0.536,0.438,không_phù_hợp
Khoai lang luộc (123g) + Đậu hũ chiên (88g),232.5,9.0,8.0,28.1,0.155,0.31,0.483,không_phù_hợp
Trái chuối (111g) + Cháo yến mạch (161g) + Canh bí đỏ (193g),267.8,6.2,4.2,56.0,0.093,0.141,0.836,không_phù_hợp
Sữa tươi không đường (153g) + Salad rau củ (149g),111.6,4.6,5.7,10.8,0.165,0.46,0.387,không_phù_hợp
Trà gừng mật ong (227g) + Khoai lang luộc (98g) + Thịt bò xào hành (92g),359.7,25.5,13.9,33.7,0.284,0.348,0.375,giữ_cân
Thịt bò xào hành (124g) + Trứng luộc (55g) + Cá hồi áp chảo (126g),655.4,66.9,40.8,4.4,0.408,0.56,0.027,không_phù_hợp
Đậu hũ chiên (118g) + Bông cải xanh hấp (115g) + Trà gừng mật ong (197g),272.6,13.7,11.3,27.2,0.201,0.373,0.399,giữ_cân
Trứng luộc (48g) + Đậu phộng rang (26g),213.5,12.1,17.2,5.8,0.227,0.725,0.109,không_phù_hợp
Sữa tươi không đường (147g) + Trứng luộc (44g) + Cá hồi áp chảo (74g),251.9,24.3,15.0,4.2,0.386,0.536,0.067,không_phù_hợp
Đậu phộng rang (33g) + Sữa tươi không đường (161g) + Đậu hũ chiên (106g),362.5,18.9,25.7,14.9,0.209,0.638,0.164,không_phù_hợp
Cá hồi áp chảo (114g) + Sữa tươi không đường (147g),265.7,27.6,15.6,3.7,0.416,0.528,0.056,không_phù_hợp
Sữa tươi không đường (153g) + Ức gà nướng (97g) + Cơm gạo lứt (114g),318.7,35.6,5.3,30.0,0.447,0.15,0.377,giảm_mỡ
Thịt bò xào hành (99g) + Đậu phộng rang (36g) + Trứng luộc (46g),511.3,39.9,36.5,10.7,0.312,0.642,0.084,không_phù_hợp
Trà gừng mật ong (210g) + Cháo yến mạch (159g),161.2,4.0,2.4,32.0,0.099,0.134,0.794,không_phù_hợp
Đậu phộng rang (25g) + Trái chuối (97g) + Cá hồi áp chảo (92g),409.2,27.1,23.9,27.3,0.265,0.526,0.267,không_phù_hợp
Trái chuối (86g) + Thịt bò xào hành (115g) + Trà gừng mật ong (235g),411.0,30.8,17.5,35.0,0.3,0.383,0.341,giữ_cân
Sữa tươi không đường (225g) + Đậu phộng rang (36g) + Cơm gạo lứt (96g),345.8,14.7,18.8,34.9,0.17,0.489,0.404,không_phù_hợp
Ức gà nướng (88g) + Trà gừng mật ong (171g) + Cơm gạo lứt (73g),260.4,29.2,3.8,25.3,0.449,0.131,0.389,giảm_mỡ
Trà gừng mật ong (205g) + Đậu phộng rang (39g),249.0,9.1,18.2,18.1,0.146,0.658,0.291,không_phù_hợp
Cá hồi áp chảo (124g) + Đậu phộng rang (23g),378.1,32.6,26.9,4.6,0.345,0.64,0.049,không_phù_hợp
Sữa tươi không đường (200g) + Cá hồi áp chảo (86g) + Cơm gạo lứt (98g),327.9,24.9,13.1,27.5,0.304,0.36,0.335,giữ_cân
Trái chuối (72g) + Khoai lang luộc (119g),166.4,2.7,0.3,40.4,0.065,0.016,0.971,không_phù_hợp
Khoai lang luộc (98g) + Salad rau củ (109g),142.4,3.0,3.7,24.7,0.084,0.234,0.694,không_phù_hợp
Khoai lang luộc (120g) + Đậu hũ chiên (99g) + Bông cải xanh hấp (128g),316.2,14.6,9.8,42.0,0.185,0.279,0.531,tăng_cân
Salad rau củ (164g) + Đậu phộng rang (29g) + Canh bí đỏ (154g),280.6,9.7,20.2,20.4,0.138,0.648,0.291,không_phù_hợp
Khoai lang luộc (130g) + Bông cải xanh hấp (92g),162.4,5.5,0.7,36.1,0.135,0.039,0.889,không_phù_hợp
Bông cải xanh hấp (103g) + Cháo yến mạch (260g) + Cơm gạo lứt (70g),329.4,12.1,5.1,62.5,0.147,0.139,0.759,tăng_cân
Ức gà nướng (121g) + Salad rau củ (190g),301.0,40.0,10.7,8.9,0.532,0.32,0.118,giữ_cân
Canh bí đỏ (188g) + Trái chuối (75g),113.8,1.8,1.6,25.7,0.063,0.127,0.903,không_phù_hợp
Sữa tươi không đường (247g) + Salad rau củ (105g) + Trứng luộc (37g),165.6,10.3,8.7,11.5,0.249,0.473,0.278,không_phù_hợp
Trái chuối (114g) + Cháo yến mạch (182g),238.0,5.8,3.1,50.8,0.097,0.117,0.854,không_phù_hợp
Salad rau củ (174g) + Đậu hũ chiên (99g) + Thịt bò xào hành (87g),452.9,32.9,27.8,14.7,0.291,0.552,0.13,không_phù_hợp
Bông cải xanh hấp (86g) + Cá hồi áp chảo (87g) + Đậu hũ chiên (109g),383.5,31.0,21.6,13.8,0.323,0.507,0.144,không_phù_hợp
Ức gà nướng (110g) + Đậu hũ chiên (104g) + Salad rau củ (186g),430.5,44.9,19.5,12.8,0.417,0.408,0.119,không_phù_hợp
Sữa tươi không đường (192g) + Salad rau củ (160g) + Trứng luộc (38g),184.9,10.2,10.3,12.7,0.221,0.501,0.275,không_phù_hợp
Trái chuối (127g) + Cơm gạo lứt (71g) + Ức gà nướng (120g),389.8,40.4,5.3,45.5,0.415,0.122,0.467,giảm_mỡ
Cơm gạo lứt (91g) + Đậu hũ chiên (100g),245.0,10.4,9.8,24.9,0.17,0.36,0.407,không_phù_hợp
Salad rau củ (124g) + Ức gà nướng (74g),188.2,24.6,6.8,5.8,0.523,0.325,0.123,giữ_cân
Cơm gạo lứt (78g) + Thịt bò xào hành (117g),379.1,32.4,18.3,21.5,0.342,0.434,0.227,không_phù_hợp
Cơm gạo lứt (101g) + Trứng luộc (36g),168.3,7.2,4.7,23.7,0.171,0.251,0.563,tăng_cân
Khoai lang luộc (73g) + Cháo yến mạch (242g),244.3,7.2,3.7,47.3,0.118,0.136,0.774,không_phù_hợp
Salad rau củ (121g) + Khoai lang luộc (74g) + Canh bí đỏ (183g),173.9,3.7,5.5,28.7,0.085,0.285,0.66,không_phù_hợp
Cá hồi áp chảo (73g) + Trứng luộc (53g),233.1,22.7,15.1,0.6,0.39,0.583,0.01,không_phù_hợp
Khoai lang luộc (86g) + Canh bí đỏ (164g) + Trà gừng mật ong (207g),156.4,2.2,1.3,34.9,0.056,0.075,0.893,không_phù_hợp
Bông cải xanh hấp (112g) + Đậu phộng rang (22g),178.9,9.3,10.9,16.7,0.208,0.548,0.373,không_phù_hợp
Đậu phộng rang (36g) + Salad rau củ (122g) + Cơm gạo lứt (111g),380.3,12.9,21.9,38.4,0.136,0.518,0.404,không_phù_hợp
Cơm gạo lứt (73g) + Trà gừng mật ong (190g),119.0,1.9,0.7,26.3,0.064,0.053,0.884,không_phù_hợp
Sữa tươi không đường (175g) + Salad rau củ (147g) + Đậu hũ chiên (79g),228.9,11.3,12.9,14.4,0.197,0.507,0.252,không_phù_hợp
Trà gừng mật ong (247g) + Bông cải xanh hấp (101g),105.0,3.7,0.6,23.5,0.141,0.051,0.895,tăng_cân
Thịt bò xào hành (96g) + Cháo yến mạch (228g) + Salad rau củ (195g),515.0,33.3,24.3,42.8,0.259,0.425,0.332,không_phù_hợp
Khoai lang luộc (84g) + Cá hồi áp chảo (130g) + Sữa tươi không đường (222g),386.7,33.7,18.1,22.4,0.349,0.421,0.232,không_phù_hợp
Ức gà nướng (79g) + Cháo yến mạch (227g),300.6,30.2,6.2,30.6,0.402,0.186,0.407,giảm_mỡ
Khoai lang luộc (128g) + Thịt bò xào hành (127g) + Đậu phộng rang (33g),603.6,42.8,34.6,36.0,0.284,0.516,0.239,không_phù_hợp
Đậu hũ chiên (81g) + Trà gừng mật ong (192g) + Cháo yến mạch (211g),313.3,11.8,10.5,41.3,0.151,0.302,0.527,tăng_cân
Salad rau củ (163g) + Đậu phộng rang (26g) + Cơm gạo lứt (101g),337.7,10.9,18.5,36.0,0.129,0.493,0.426,không_phù_hợp
Cơm gạo lứt (126g) + Đậu hũ chiên (126g),321.3,13.4,12.5,34.0,0.167,0.35,0.423,không_phù_hợp
Khoai lang luộc (77g) + Đậu phộng rang (23g),188.9,6.6,10.8,20.0,0.14,0.515,0.424,không_phù_hợp
Cơm gạo lứt (125g) + Ức gà nướng (116g),330.1,39.2,5.3,28.8,0.475,0.145,0.349,giảm_mỡ
Trứng luộc (49g) + Bông cải xanh hấp (89g) + Ức gà nướng (105g),298.6,42.0,9.5,10.4,0.563,0.286,0.139,giảm_cân
Thịt bò xào hành (74g) + Salad rau củ (113g) + Khoai lang luộc (127g),354.5,22.8,15.0,32.9,0.257,0.381,0.371,giữ_cân
Ức gà nướng (124g) + Đậu hũ chiên (119g) + Thịt bò xào hành (94g),611.0,72.4,29.3,7.6,0.474,0.432,0.05,không_phù_hợp
Đậu phộng rang (26g) + Cháo yến mạch (211g),296.9,11.3,15.3,33.7,0.152,0.464,0.454,không_phù_hợp
Bông cải xanh hấp (87g) + Khoai lang luộc (81g),117.5,4.5,0.6,25.8,0.153,0.046,0.878,tăng_cân
Sữa tươi không đường (230g) + Canh bí đỏ (183g) + Đậu phộng rang (24g),222.1,10.4,13.7,18.8,0.187,0.555,0.339,không_phù_hợp
Đậu phộng rang (25g) + Bông cải xanh hấp (93g),184.5,9.3,12.2,15.2,0.202,0.595,0.33,không_phù_hợp
Trà gừng mật ong (218g) + Cháo yến mạch (210g) + Sữa tươi không đường (141g),230.7,7.6,3.9,42.8,0.132,0.152,0.742,không_phù_hợp
Thịt bò xào hành (82g) + Bông cải xanh hấp (116g) + Đậu hũ chiên (84g),389.8,32.3,20.6,18.6,0.331,0.476,0.191,không_phù_hợp
Thịt bò xào hành (113g) + Salad rau củ (138g),356.1,31.2,21.6,9.8,0.35,0.546,0.11,không_phù_hợp
Cơm gạo lứt (113g) + Ức gà nướng (117g),318.5,39.2,5.2,26.0,0.492,0.147,0.327,giảm_mỡ
Ức gà nướng (103g) + Cá hồi áp chảo (100g),376.0,53.9,16.7,0.0,0.573,0.4,0.0,giữ_cân
Trái chuối (90g) + Đậu hũ chiên (95g) + Cơm gạo lứt (107g),335.7,11.4,9.8,49.1,0.136,0.263,0.585,không_phù_hợp
Cháo yến mạch (228g) + Khoai lang luộc (70g),231.2,6.8,3.5,44.8,0.118,0.136,0.775,không_phù_hợp
Trà gừng mật ong (250g) + Ức gà nướng (106g) + Salad rau củ (172g),316.6,35.2,9.5,20.5,0.445,0.27,0.259,giảm_cân
Sữa tươi không đường (222g) + Salad rau củ (162g),133.0,5.9,6.5,13.1,0.177,0.44,0.394,không_phù_hợp
Thịt bò xào hành (70g) + Cơm gạo lứt (91g),276.0,20.6,11.3,23.0,0.299,0.368,0.333,giữ_cân
Cháo yến mạch (173g) + Trứng luộc (37g) + Trái chuối (102g),278.2,10.1,6.8,47.3,0.145,0.22,0.68,tăng_cân
Ức gà nướng (76g) + Cơm gạo lứt (121g) + Trứng luộc (45g),329.9,32.4,8.6,28.4,0.393,0.235,0.344,giảm_mỡ
Cơm gạo lứt (110g) + Trứng luộc (46g) + Canh bí đỏ (230g),251.4,9.8,7.6,36.2,0.156,0.272,0.576,tăng_cân
Đậu hũ chiên (113g) + Khoai lang luộc (111g),258.2,10.8,10.3,26.7,0.167,0.359,0.414,không_phù_hợp
Salad rau củ (139g) + Cơm gạo lứt (99g),184.0,4.4,5.5,29.3,0.096,0.269,0.637,không_phù_hợp
Khoai lang luộc (85g) + Đậu phộng rang (24g) + Cháo yến mạch (158g),319.6,10.9,13.7,43.1,0.136,0.386,0.539,không_phù_hợp
Cá hồi áp chảo (82g) + Đậu hũ chiên (109g) + Trà gừng mật ong (177g),361.3,26.8,20.5,13.2,0.297,0.511,0.146,không_phù_hợp
Canh bí đỏ (165g) + Cá hồi áp chảo (126g) + Khoai lang luộc (113g),398.0,30.4,17.7,30.0,0.306,0.4,0.302,giữ_cân
Đậu hũ chiên (96g) + Trà gừng mật ong (163g),170.8,7.7,8.6,12.0,0.18,0.453,0.281,không_phù_hợp
Cháo yến mạch (154g) + Ức gà nướng (99g),278.9,34.5,5.9,20.8,0.495,0.19,0.298,giảm_mỡ
Ức gà nướng (129g) + Canh bí đỏ (186g),259.4,40.9,6.0,8.4,0.631,0.208,0.13,giảm_mỡ
Đậu phộng rang (34g) + Sữa tươi không đường (257g) + Ức gà nướng (80g),367.3,37.1,20.0,13.2,0.404,0.49,0.144,không_phù_hợp
