menu,total_calories,total_protein,total_fat,total_carb,protein_ratio,fat_ratio,carb_ratio,goal
Bông cải xanh hấp (106g) + Thịt bò xào hành (90g) + Cháo yến mạch (181g),419.1,31.8,16.9,38.8,0.304,0.363,0.37,giữ_cân
Trứng luộc (56g) + Cá hồi áp chảo (120g),334.6,33.5,21.5,0.7,0.4,0.578,0.008,không_phù_hợp
Trái chuối (84g) + Canh bí đỏ (260g),139.8,2.2,2.2,31.0,0.063,0.142,0.887,không_phù_hợp
Trái chuối (103g) + Thịt bò xào hành (107g) + Cá hồi áp chảo (108g),581.7,52.7,30.4,26.9,0.362,0.47,0.185,không_phù_hợp
Trái chuối (73g) + Trà gừng mật ong (242g) + Ức gà nướng (105g),286.6,33.4,4.0,28.9,0.466,0.126,0.403,giảm_mỡ
Trà gừng mật ong (147g) + Salad rau củ (120g),93.4,1.6,4.0,12.9,0.069,0.385,0.552,không_phù_hợp
Canh bí đỏ (235g) + Đậu phộng rang (26g) + Thịt bò xào hành (92g),427.4,31.2,27.7,18.5,0.292,0.583,0.173,không_phù_hợp
Canh bí đỏ (185g) + Khoai lang luộc (119g) + Bông cải xanh hấp (128g),219.0,7.6,2.3,46.2,0.139,0.095,0.844,không_phù_hợp
Canh bí đỏ (174g) + Trà gừng mật ong (146g),72.7,0.9,1.3,15.1,0.05,0.161,0.831,không_phù_hợp
Bông cải xanh hấp (114g) + Canh bí đỏ (237g),121.9,5.4,2.5,23.2,0.177,0.185,0.761,tăng_cân
Salad rau củ (184g) + Cơm gạo lứt (73g),179.2,4.4,6.8,25.4,0.098,0.342,0.567,không_phù_hợp
Trái chuối (80g) + Sữa tươi không đường (229g) + Trà gừng mật ong (250g),169.3,4.8,1.4,36.6,0.113,0.074,0.865,không_phù_hợp
Cơm gạo lứt (112g) + Thịt bò xào hành (88g) + Đậu phộng rang (27g),488.3,32.1,26.8,33.8,0.263,0.494,0.277,không_phù_hợp
Đậu phộng rang (33g) + Thịt bò xào hành (114g) + Đậu hũ chiên (105g),612.2,45.7,42.0,14.2,0.299,0.617,0.093,không_phù_hợp
Cá hồi áp chảo (84g) + Ức gà nướng (126g) + Salad rau củ (133g),451.9,59.3,19.9,6.2,0.525,0.396,0.055,giữ_cân
Canh bí đỏ (211g) + Ức gà nướng (110g) + Đậu phộng rang (33g),410.2,42.9,20.9,16.1,0.418,0.459,0.157,không_phù_hợp
Ức gà nướng (83g) + Khoai lang luộc (124g),243.6,27.7,3.1,24.8,0.455,0.115,0.407,giảm_mỡ
Bông cải xanh hấp (103g) + Sữa tươi không đường (238g),106.6,7.9,1.8,17.3,0.296,0.152,0.649,tăng_cơ
Trứng luộc (47g) + Khoai lang luộc (114g),171.4,7.7,5.1,23.4,0.18,0.268,0.546,tăng_cân
Cơm gạo lứt (70g) + Khoai lang luộc (113g) + Ức gà nướng (122g),376.2,41.4,5.1,38.7,0.44,0.122,0.411,giảm_mỡ
Cháo yến mạch (222g) + Cơm gạo lứt (88g) + Salad rau củ (144g),341.0,9.8,8.9,56.9,0.115,0.235,0.667,không_phù_hợp
Salad rau củ (137g) + Đậu phộng rang (28g),222.4,8.4,17.6,12.0,0.151,0.712,0.216,không_phù_hợp
Canh bí đỏ (246g) + Cơm gạo lứt (75g),144.8,3.2,2.5,28.3,0.088,0.155,0.782,không_phù_hợp
Đậu phộng rang (37g) + Canh bí đỏ (256g),261.3,9.9,19.2,18.9,0.152,0.661,0.289,không_phù_hợp
Cá hồi áp chảo (119g) + Salad rau củ (129g),313.9,27.9,19.8,6.0,0.356,0.568,0.076,không_phù_hợp
Salad rau củ (160g) + Sữa tươi không đường (232g),134.1,6.1,6.5,13.3,0.182,0.436,0.397,không_phù_hợp
Bông cải xanh hấp (117g) + Trái chuối (124g),174.7,5.7,1.1,41.4,0.131,0.057,0.948,không_phù_hợp
Trà gừng mật ong (146g) + Sữa tươi không đường (228g) + Salad rau củ (171g),168.3,6.2,6.8,21.0,0.147,0.364,0.499,không_phù_hợp
Sữa tươi không đường (250g) + Trà gừng mật ong (222g) + Trái chuối (107g),192.1,5.4,1.6,42.0,0.112,0.075,0.875,không_phù_hợp
Canh bí đỏ (187g) + Cơm gạo lứt (77g),132.2,2.9,2.1,26.1,0.088,0.143,0.79,không_phù_hợp
Cơm gạo lứt (122g) + Đậu hũ chiên (94g),270.8,10.7,9.6,31.8,0.158,0.319,0.47,không_phù_hợp
Canh bí đỏ (188g) + Trái chuối (119g) + Trứng luộc (43g),220.0,7.7,6.3,36.3,0.14,0.258,0.66,tăng_cân
Đậu hũ chiên (94g) + Trà gừng mật ong (233g) + Đậu phộng rang (29g),336.6,14.3,22.0,21.2,0.17,0.588,0.252,không_phù_hợp
Salad rau củ (193g) + Cơm gạo lứt (74g) + Đậu phộng rang (35g),371.7,12.7,23.4,33.0,0.137,0.567,0.355,không_phù_hợp
Khoai lang luộc (130g) + Trứng luộc (47g) + Thịt bò xào hành (123g),492.6,40.0,23.6,30.3,0.325,0.431,0.246,không_phù_hợp
Trà gừng mật ong (219g) + Đậu phộng rang (21g),155.8,4.9,9.8,15.1,0.126,0.566,0.388,không_phù_hợp
Khoai lang luộc (101g) + Đậu phộng rang (39g) + Đậu hũ chiên (79g),408.6,17.0,25.4,31.2,0.166,0.559,0.305,không_phù_hợp
Sữa tươi không đường (214g) + Thịt bò xào hành (82g),249.9,25.0,13.4,7.8,0.4,0.483,0.125,không_phù_hợp
Đậu phộng rang (25g) + Sữa tươi không đường (251g) + Trái chuối (111g),284.8,11.3,13.3,36.8,0.159,0.42,0.517,không_phù_hợp
Đậu phộng rang (31g) + Ức gà nướng (91g) + Cá hồi áp chảo (113g),548.3,60.3,32.4,6.2,0.44,0.532,0.045,không_phù_hợp
Ức gà nướng (71g) + Khoai lang luộc (121g),221.2,23.9,2.7,24.2,0.432,0.11,0.438,giảm_mỡ
Trà gừng mật ong (156g) + Ức gà nướng (93g),184.7,28.8,3.3,7.8,0.624,0.161,0.169,giảm_mỡ
Khoai lang luộc (87g) + Trứng luộc (55g) + Bông cải xanh hấp (106g),218.9,12.2,6.6,29.7,0.223,0.271,0.543,tăng_cân
Sữa tươi không đường (191g) + Trái chuối (115g) + Thịt bò xào hành (117g),435.0,34.9,18.8,34.7,0.321,0.389,0.319,giữ_cân
Trứng luộc (53g) + Khoai lang luộc (96g) + Bông cải xanh hấp (126g),234.5,12.9,6.5,33.7,0.22,0.249,0.575,tăng_cân
Canh bí đỏ (148g) + Thịt bò xào hành (84g),247.0,22.6,13.7,9.2,0.366,0.499,0.149,không_phù_hợp
Cá hồi áp chảo (84g) + Đậu phộng rang (39g) + Trà gừng mật ong (209g),422.8,27.6,29.1,18.2,0.261,0.619,0.172,không_phù_hợp
Salad rau củ (178g) + Trứng luộc (56g),182.3,9.4,11.9,9.0,0.206,0.587,0.197,không_phù_hợp
Trứng luộc (41g) + Bông cải xanh hấp (106g),122.3,9.1,5.0,12.2,0.298,0.368,0.399,giữ_cân
Thịt bò xào hành (130g) + Đậu hũ chiên (114g),489.2,42.9,29.8,8.5,0.351,0.548,0.07,không_phù_hợp
Cá hồi áp chảo (121g) + Khoai lang luộc (88g),324.9,28.0,15.8,17.6,0.345,0.438,0.217,không_phù_hợp
Trà gừng mật ong (205g) + Canh bí đỏ (193g),89.2,1.0,1.4,18.9,0.045,0.141,0.848,không_phù_hợp
Sữa tươi không đường (225g) + Trái chuối (93g) + Cá hồi áp chảo (112g),360.7,29.5,16.0,27.0,0.327,0.399,0.299,giữ_cân
Canh bí đỏ (167g) + Trà gừng mật ong (254g),92.5,0.8,1.3,20.2,0.035,0.126,0.874,không_phù_hợp
Khoai lang luộc (106g) + Đậu hũ chiên (81g) + Trứng luộc (40g),270.2,13.2,11.6,24.9,0.195,0.386,0.369,giữ_cân
Canh bí đỏ (189g) + Sữa tươi không đường (187g),86.5,4.1,2.4,13.2,0.19,0.25,0.61,tăng_cân
Trái chuối (97g) + Khoai lang luộc (106g),177.5,2.8,0.4,43.5,0.063,0.02,0.98,không_phù_hợp
Cháo yến mạch (159g) + Salad rau củ (150g),199.2,6.0,7.4,28.5,0.12,0.334,0.572,không_phù_hợp
Canh bí đỏ (227g) + Cá hồi áp chảo (129g),322.5,29.5,18.5,10.2,0.366,0.516,0.127,không_phù_hợp
Thịt bò xào hành (114g) + Bông cải xanh hấp (112g),346.6,33.8,17.8,15.7,0.39,0.462,0.181,không_phù_hợp
Cá hồi áp chảo (101g) + Cơm gạo lứt (111g),331.3,25.1,14.1,25.5,0.303,0.383,0.308,giữ_cân
Bông cải xanh hấp (73g) + Đậu hũ chiên (117g) + Cháo yến mạch (145g),317.4,15.7,13.1,32.3,0.198,0.371,0.407,giữ_cân
Đậu hũ chiên (91g) + Trứng luộc (58g),221.5,14.6,14.3,4.3,0.264,0.581,0.078,không_phù_hợp
Cơm gạo lứt (85g) + Cháo yến mạch (147g),204.6,5.9,3.0,39.4,0.115,0.132,0.77,không_phù_hợp
Canh bí đỏ (228g) + Salad rau củ (135g) + Trứng luộc (63g),227.3,10.9,12.9,17.3,0.192,0.511,0.304,không_phù_hợp
Cá hồi áp chảo (101g) + Sữa tươi không đường (159g) + Trái chuối (106g),335.8,26.1,14.2,28.4,0.311,0.381,0.338,giữ_cân
Sữa tươi không đường (236g) + Trà gừng mật ong (206g),90.8,4.0,1.2,16.2,0.176,0.119,0.714,tăng_cân
Đậu hũ chiên (78g) + Thịt bò xào hành (129g) + Đậu phộng rang (23g),557.5,45.1,37.1,11.6,0.324,0.599,0.083,không_phù_hợp
Sữa tươi không đường (252g) + Cháo yến mạch (251g) + Trà gừng mật ong (204g),282.0,10.6,5.0,50.4,0.15,0.16,0.715,tăng_cân
Thịt bò xào hành (100g) + Bông cải xanh hấp (86g) + Cá hồi áp chảo (115g),534.2,54.5,30.5,12.5,0.408,0.514,0.094,không_phù_hợp
Canh bí đỏ (204g) + Ức gà nướng (110g),232.5,35.1,5.5,9.2,0.604,0.213,0.158,giảm_mỡ
Sữa tươi không đường (155g) + Cháo yến mạch (193g),177.3,7.5,3.7,29.9,0.169,0.188,0.675,tăng_cân
Trứng luộc (37g) + Khoai lang luộc (81g) + Đậu hũ chiên (76g),236.8,12.0,10.8,19.7,0.203,0.41,0.333,không_phù_hợp
Sữa tươi không đường (202g) + Cơm gạo lứt (110g) + Trà gừng mật ong (186g),201.7,6.3,2.0,39.7,0.125,0.089,0.787,không_phù_hợp
Cháo yến mạch (178g) + Cơm gạo lứt (82g),224.5,6.6,3.4,42.9,0.118,0.136,0.764,không_phù_hợp
Đậu phộng rang (24g) + Sữa tươi không đường (257g),182.0,10.0,12.5,11.2,0.22,0.618,0.246,không_phù_hợp
Salad rau củ (178g) + Cá hồi áp chảo (73g),245.3,18.4,15.4,8.3,0.3,0.565,0.135,không_phù_hợp
Canh bí đỏ (180g) + Bông cải xanh hấp (91g) + Ức gà nướng (116g),286.4,40.2,6.1,18.1,0.561,0.192,0.253,giảm_mỡ
Trái chuối (127g) + Đậu phộng rang (21g) + Cơm gạo lứt (129g),368.2,9.7,11.3,63.1,0.105,0.276,0.685,không_phù_hợp
Salad rau củ (153g) + Cá hồi áp chảo (93g) + Đậu hũ chiên (101g),418.6,30.6,26.3,11.2,0.292,0.565,0.107,không_phù_hợp
Khoai lang luộc (106g) + Cá hồi áp chảo (80g),256.0,19.3,10.5,21.2,0.302,0.369,0.331,giữ_cân
Bông cải xanh hấp (97g) + Canh bí đỏ (257g),117.6,4.9,2.5,22.2,0.167,0.191,0.755,tăng_cân
Sữa tươi không đường (229g) + Cơm gạo lứt (112g),172.4,6.8,2.2,31.5,0.158,0.115,0.731,tăng_cân
Sữa tươi không đường (198g) + Đậu phộng rang (28g),190.9,9.9,14.1,10.6,0.207,0.665,0.222,không_phù_hợp
Đậu hũ chiên (123g) + Khoai lang luộc (127g),286.3,11.9,11.2,30.3,0.166,0.352,0.423,không_phù_hợp
Cá hồi áp chảo (123g) + Thịt bò xào hành (118g),548.4,57.7,33.7,3.5,0.421,0.553,0.026,không_phù_hợp
Đậu hũ chiên (116g) + Ức gà nướng (125g),373.3,48.0,14.9,4.6,0.514,0.359,0.049,giữ_cân
Salad rau củ (124g) + Trà gừng mật ong (230g),112.1,1.7,4.1,17.3,0.061,0.329,0.617,không_phù_hợp
Ức gà nướng (85g) + Trà gừng mật ong (217g) + Trái chuối (89g),262.9,27.3,3.3,31.3,0.415,0.113,0.476,giảm_mỡ
Ức gà nướng (124g) + Sữa tươi không đường (221g),251.0,42.2,5.6,5.5,0.673,0.201,0.088,giảm_mỡ
Đậu phộng rang (33g) + Trái chuối (120g) + Sữa tươi không đường (246g),334.5,13.2,17.0,40.3,0.158,0.457,0.482,không_phù_hợp
Trà gừng mật ong (257g) + Bông cải xanh hấp (99g),105.8,3.7,0.6,23.7,0.14,0.051,0.896,tăng_cân
Cơm gạo lứt (83g) + Thịt bò xào hành (121g),394.6,33.6,18.9,22.7,0.341,0.431,0.23,không_phù_hợp
Cháo yến mạch (233g) + Đậu phộng rang (33g),350.8,13.5,18.9,38.1,0.154,0.485,0.434,không_phù_hợp
Trà gừng mật ong (154g) + Đậu hũ chiên (80g) + Trứng luộc (44g),214.6,11.9,11.9,11.4,0.222,0.499,0.212,không_phù_hợp
Khoai lang luộc (91g) + Ức gà nướng (94g) + Cá hồi áp chảo (120g),480.6,57.0,19.1,18.2,0.474,0.358,0.151,giữ_cân
Bông cải xanh hấp (71g) + Cá hồi áp chảo (93g) + Sữa tươi không đường (160g),264.2,25.8,13.3,11.8,0.391,0.453,0.179,không_phù_hợp
Cơm gạo lứt (100g) + Bông cải xanh hấp (105g),168.8,6.5,1.5,34.5,0.154,0.08,0.818,tăng_cân
Cá hồi áp chảo (76g) + Khoai lang luộc (73g) + Trái chuối (124g),329.7,19.3,10.3,43.1,0.234,0.281,0.523,tăng_cân
Thịt bò xào hành (74g) + Cơm gạo lứt (92g),287.1,21.6,11.9,23.4,0.301,0.373,0.326,giữ_cân
Bông cải xanh hấp (128g) + Trà gừng mật ong (159g),102.2,4.7,0.8,22.0,0.184,0.07,0.861,tăng_cân
Cháo yến mạch (179g) + Trứng luộc (49g) + Trái chuối (130g),326.4,12.1,8.3,54.7,0.148,0.229,0.67,tăng_cân
Trái chuối (84g) + Sữa tươi không đường (154g),107.1,3.5,1.0,23.2,0.131,0.084,0.866,không_phù_hợp
Khoai lang luộc (113g) + Bông cải xanh hấp (72g),136.8,4.5,0.5,30.5,0.132,0.033,0.892,không_phù_hợp
Cơm gạo lứt (76g) + Sữa tươi không đường (173g),120.7,4.9,1.5,21.8,0.162,0.112,0.722,tăng_cân
Trà gừng mật ong (245g) + Cá hồi áp chảo (71g) + Trứng luộc (43g),262.3,21.0,13.8,12.8,0.32,0.474,0.195,không_phù_hợp
Cá hồi áp chảo (98g) + Cơm gạo lứt (124g),339.5,24.8,13.9,28.5,0.292,0.368,0.336,giữ_cân
Sữa tươi không đường (260g) + Đậu phộng rang (21g) + Thịt bò xào hành (127g),484.1,42.3,30.1,14.5,0.35,0.56,0.12,không_phù_hợp
Ức gà nướng (99g) + Cháo yến mạch (154g),278.9,34.5,5.9,20.8,0.495,0.19,0.298,giảm_mỡ
Thịt bò xào hành (125g) + Đậu phộng rang (32g) + Cháo yến mạch (171g),611.4,44.2,36.2,33.2,0.289,0.533,0.217,không_phù_hợp
Đậu hũ chiên (75g) + Khoai lang luộc (126g),216.4,8.0,6.9,28.2,0.148,0.287,0.521,tăng_cân
Ức gà nướng (101g) + Bông cải xanh hấp (118g),231.6,35.7,4.3,13.0,0.617,0.167,0.225,giảm_mỡ
Cơm gạo lứt (91g) + Khoai lang luộc (108g) + Trà gừng mật ong (210g),235.9,4.1,0.9,53.0,0.07,0.034,0.899,không_phù_hợp
Trái chuối (82g) + Ức gà nướng (83g) + Trứng luộc (40g),272.3,31.7,7.5,19.3,0.466,0.248,0.284,giảm_cân
Khoai lang luộc (123g) + Cháo yến mạch (180g) + Canh bí đỏ (257g),305.0,7.8,4.8,60.5,0.102,0.142,0.793,không_phù_hợp
Bông cải xanh hấp (118g) + Cá hồi áp chảo (92g),254.4,24.6,12.7,13.0,0.387,0.449,0.204,không_phù_hợp
Trái chuối (90g) + Khoai lang luộc (104g),169.5,2.7,0.4,41.5,0.064,0.021,0.979,không_phù_hợp
Sữa tươi không đường (179g) + Thịt bò xào hành (127g),355.1,36.1,19.9,8.3,0.407,0.504,0.093,không_phù_hợp
Trái chuối (77g) + Salad rau củ (120g) + Ức gà nướng (104g),304.1,34.7,8.0,23.3,0.456,0.237,0.306,giảm_mỡ
Trà gừng mật ong (160g) + Cơm gạo lứt (109g) + Ức gà nướng (92g),304.8,31.4,4.3,33.1,0.412,0.127,0.434,giảm_mỡ
Trứng luộc (50g) + Khoai lang luộc (129g) + Cháo yến mạch (143g),296.2,11.9,7.6,45.7,0.161,0.231,0.617,tăng_cân
Khoai lang luộc (121g) + Thịt bò xào hành (99g) + Cơm gạo lứt (83g),443.7,29.8,15.7,46.3,0.269,0.318,0.417,giữ_cân
Trái chuối (74g) + Cơm gạo lứt (127g),206.8,4.1,1.4,46.2,0.079,0.061,0.894,không_phù_hợp
Khoai lang luộc (124g) + Cá hồi áp chảo (129g),372.4,30.4,16.9,24.8,0.327,0.408,0.266,không_phù_hợp
Sữa tươi không đường (143g) + Trà gừng mật ong (170g),64.0,2.4,0.7,12.1,0.15,0.098,0.756,tăng_cân
Khoai lang luộc (72g) + Đậu phộng rang (31g),227.3,8.4,14.5,20.6,0.148,0.574,0.363,không_phù_hợp
Trứng luộc (63g) + Đậu phộng rang (36g) + Trái chuối (95g),374.8,17.4,23.8,29.8,0.186,0.572,0.318,không_phù_hợp
Thịt bò xào hành (98g) + Trà gừng mật ong (221g),289.2,25.5,14.7,14.0,0.353,0.457,0.194,không_phù_hợp
Đậu hũ chiên (80g) + Thịt bò xào hành (95g),352.7,31.1,21.4,6.0,0.353,0.546,0.068,không_phù_hợp
Canh bí đỏ (150g) + Bông cải xanh hấp (96g),90.3,4.3,1.7,17.3,0.19,0.169,0.766,tăng_cân
Đậu hũ chiên (90g) + Trà gừng mật ong (244g) + Canh bí đỏ (140g),213.4,7.9,9.1,22.1,0.148,0.384,0.414,không_phù_hợp
Thịt bò xào hành (126g) + Trà gừng mật ong (185g),352.0,32.8,18.9,13.0,0.373,0.483,0.148,không_phù_hợp
Cháo yến mạch (159g) + Khoai lang luộc (115g) + Trái chuối (96g),303.6,6.9,2.8,66.5,0.091,0.083,0.876,không_phù_hợp
Salad rau củ (174g) + Đậu phộng rang (30g),252.8,9.3,19.8,14.1,0.147,0.705,0.223,không_phù_hợp
Cơm gạo lứt (105g) + Cháo yến mạch (224g) + Sữa tươi không đường (148g),315.6,10.8,5.0,58.1,0.137,0.143,0.736,không_phù_hợp
Sữa tươi không đường (227g) + Cơm gạo lứt (115g) + Trái chuối (101g),265.2,8.0,2.5,55.4,0.121,0.085,0.836,không_phù_hợp
Salad rau củ (113g) + Khoai lang luộc (95g) + Ức gà nướng (117g),335.0,39.3,8.1,24.3,0.469,0.218,0.29,giảm_mỡ
Khoai lang luộc (98g) + Thịt bò xào hành (83g) + Đậu phộng rang (39g),499.8,32.2,30.7,29.9,0.258,0.553,0.239,không_phù_hợp
Cơm gạo lứt (113g) + Cá hồi áp chảo (98g) + Đậu hũ chiên (90g),456.9,31.7,21.9,29.6,0.278,0.431,0.259,không_phù_hợp
Thịt bò xào hành (107g) + Trái chuối (90g) + Cá hồi áp chảo (123g),601.0,55.9,32.3,23.9,0.372,0.484,0.159,không_phù_hợp
Đậu hũ chiên (78g) + Khoai lang luộc (113g),209.5,8.0,7.1,25.7,0.153,0.305,0.491,không_phù_hợp
Ức gà nướng (102g) + Bông cải xanh hấp (104g),225.5,35.5,4.3,11.4,0.63,0.172,0.202,giảm_mỡ
Trứng luộc (57g) + Canh bí đỏ (210g),141.4,8.2,7.6,10.1,0.232,0.484,0.286,không_phù_hợp
Đậu hũ chiên (84g) + Thịt bò xào hành (91g) + Trà gừng mật ong (175g),383.5,30.4,21.2,14.8,0.317,0.498,0.154,không_phù_hợp
Canh bí đỏ (239g) + Ức gà nướng (78g) + Trà gừng mật ong (238g),236.1,25.4,4.6,22.7,0.43,0.175,0.385,giảm_mỡ
Bông cải xanh hấp (101g) + Canh bí đỏ (260g) + Trà gừng mật ong (211g),162.8,5.0,2.6,33.4,0.123,0.144,0.821,không_phù_hợp
Trứng luộc (56g) + Cháo yến mạch (162g),208.9,11.1,8.4,22.5,0.213,0.362,0.431,giữ_cân
Trứng luộc (65g) + Sữa tươi không đường (187g),140.7,11.4,7.8,5.5,0.324,0.499,0.156,không_phù_hợp
Sữa tươi không đường (232g) + Trứng luộc (48g) + Cá hồi áp chảo (117g),364.6,35.7,21.5,6.4,0.392,0.531,0.07,không_phù_hợp
Cá hồi áp chảo (110g) + Bông cải xanh hấp (100g),281.6,27.9,14.9,11.0,0.396,0.476,0.156,không_phù_hợp
Trái chuối (107g) + Trà gừng mật ong (255g) + Trứng luộc (43g),213.3,6.6,4.9,37.9,0.124,0.207,0.711,không_phù_hợp
Trứng luộc (65g) + Sữa tươi không đường (181g),139.4,11.3,7.8,5.3,0.324,0.504,0.152,không_phù_hợp
Trái chuối (91g) + Đậu hũ chiên (119g),252.3,10.5,11.0,25.7,0.166,0.392,0.407,không_phù_hợp
Trái chuối (96g) + Trà gừng mật ong (154g),116.2,1.1,0.3,29.8,0.038,0.023,1.026,không_phù_hợp
Đậu phộng rang (26g) + Trái chuối (108g),234.8,7.3,12.5,30.0,0.124,0.479,0.511,không_phù_hợp
Cơm gạo lứt (71g) + Ức gà nướng (79g) + Đậu phộng rang (31g),374.5,33.6,17.9,22.5,0.359,0.43,0.24,không_phù_hợp
Trái chuối (93g) + Đậu phộng rang (33g),258.8,8.7,15.7,28.0,0.134,0.546,0.433,không_phù_hợp
Salad rau củ (183g) + Canh bí đỏ (249g),159.8,3.7,8.0,19.7,0.093,0.451,0.493,không_phù_hợp
Trứng luộc (46g) + Đậu phộng rang (35g) + Cơm gạo lứt (92g),360.5,16.4,22.0,28.7,0.182,0.549,0.318,không_phù_hợp
Trái chuối (92g) + Cá hồi áp chảo (83g),252.9,19.3,11.1,21.2,0.305,0.395,0.335,giữ_cân
Trà gừng mật ong (178g) + Khoai lang luộc (106g),126.8,1.7,0.1,30.1,0.054,0.007,0.95,không_phù_hợp
Cháo yến mạch (227g) + Cơm gạo lứt (107g),289.0,8.5,4.4,55.3,0.118,0.137,0.765,không_phù_hợp
Khoai lang luộc (77g) + Sữa tươi không đường (191g) + Đậu hũ chiên (115g),271.9,13.7,11.4,24.8,0.202,0.377,0.365,giữ_cân
Đậu hũ chiên (98g) + Trứng luộc (36g),197.3,12.4,12.6,4.4,0.251,0.575,0.089,không_phù_hợp
Bông cải xanh hấp (72g) + Cháo yến mạch (160g) + Trái chuối (107g),254.8,7.8,3.2,54.1,0.122,0.113,0.849,không_phù_hợp
Ức gà nướng (113g) + Salad rau củ (128g),254.7,36.7,8.3,6.0,0.576,0.293,0.094,giảm_cân
Canh bí đỏ (217g) + Bông cải xanh hấp (120g),120.2,5.5,2.3,23.0,0.183,0.172,0.765,tăng_cân
Cá hồi áp chảo (91g) + Trà gừng mật ong (155g),218.5,20.0,11.8,7.8,0.366,0.486,0.143,không_phù_hợp
